Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707084000.0 250206.17 NA 509 566 0 NA NA NA NA NA 698 767 0 NA NA NA NA NA 6568 2231 465 NA NA NA NA NA 2470 1949 717 NA NA NA NA
1707084000.0 250400.0 411 0 194 NA NA NA NA NA 603 0 285 NA NA NA NA NA 935 242 693 NA NA NA NA NA 1008 333 1306 NA NA NA NA NA
1707084000.0 250403.0 414 0 190 NA NA NA NA NA 621 0 288 NA NA NA NA NA 1001 251 707 NA NA NA NA NA 1100 395 1338 NA NA NA NA NA
1707084000.0 250403.17 491 0 197 NA NA NA NA NA 705 0 286 NA NA NA NA NA 1078 285 708 NA NA NA NA NA 972 390 1264 NA NA NA NA NA
1707084000.0 250405.0 417 0 190 NA NA NA NA NA 629 0 288 NA NA NA NA NA 968 247 687 NA NA NA NA NA 961 375 1302 NA NA NA NA NA
1707084000.0 250407.17 442 0 193 NA NA NA NA NA 595 0 291 NA NA NA NA NA 1001 245 692 NA NA NA NA NA 959 385 1295 NA NA NA NA NA
1707084000.0 250407.18 450 0 192 NA NA NA NA NA 606 0 285 NA NA NA NA NA 1038 249 695 NA NA NA NA NA 1188 342 1244 NA NA NA NA NA
1707084000.0 250408.0 413 0 199 NA NA NA NA NA 615 0 285 NA NA NA NA NA 1050 252 700 NA NA NA NA NA 1087 365 1014 NA NA NA NA NA
1707084000.0 25200.0 NA 435 653 0 169 NA NA NA NA 593 884 0 254 NA NA NA NA 1451 2549 366 406 NA NA NA NA 993 2649 507 624 NA NA NA
1707084000.0 25202.0 NA 437 650 0 171 NA NA NA NA 606 855 0 259 NA NA NA NA 1504 2862 376 405 NA NA NA NA 1000 2741 552 653 NA NA NA
