Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707001200.0 205.0 NA 108 238 0 NA NA NA NA NA 147 268 0 NA NA NA NA NA 458 642 388 NA NA NA NA NA 543 759 404 NA NA NA NA
1707001200.0 21.0 NA 105 211 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1365 956 391 NA NA NA NA NA 1418 1018 407 NA NA NA NA
1707001200.0 22.0 NA 107 227 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1426 1276 381 NA NA NA NA NA 1449 1344 402 NA NA NA NA
1707001200.0 23.0 NA 105 226 0 NA NA NA NA NA 146 254 0 NA NA NA NA NA 1557 1227 432 NA NA NA NA NA 1585 1268 450 NA NA NA NA
1707001200.0 24.0 NA 106 230 0 NA NA NA NA NA 146 257 0 NA NA NA NA NA 1681 1794 448 NA NA NA NA NA 1704 1834 462 NA NA NA NA
1707001200.0 25.0 NA 106 238 0 105 NA NA NA NA 146 271 0 124 NA NA NA NA 1780 2112 444 88 NA NA NA NA 1834 2170 462 101 NA NA NA
1707001200.0 250199.0 167 NA NA NA NA NA NA NA 205 NA NA NA NA NA NA NA 4041 NA NA NA NA NA NA NA 4365 NA NA NA NA NA NA NA
1707001200.0 250200.1 86 226 224 NA NA NA NA NA 107 264 255 NA NA NA NA NA 3488 1152 1513 NA NA NA NA NA 3551 1272 1571 NA NA NA NA NA
1707001200.0 250202.0 NA 257 325 0 NA NA NA NA NA 336 366 0 NA NA NA NA NA 12367 2994 1268 NA NA NA NA NA 12800 3070 1288 NA NA NA NA
1707001200.0 250205.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 250399.0 152 NA NA NA NA NA NA NA 215 NA NA NA NA NA NA NA 588 NA NA NA NA NA NA NA 727 NA NA NA NA NA NA NA
1707001200.0 250400.0 265 0 135 NA NA NA NA NA 312 0 157 NA NA NA NA NA 882 224 377 NA NA NA NA NA 958 231 427 NA NA NA NA NA
1707001200.0 250402.0 268 0 135 NA NA NA NA NA 313 0 158 NA NA NA NA NA 1053 240 451 NA NA NA NA NA 1147 250 495 NA NA NA NA NA
1707001200.0 250405.0 264 0 134 NA NA NA NA NA 310 0 156 NA NA NA NA NA 819 226 388 NA NA NA NA NA 903 237 428 NA NA NA NA NA
1707001200.0 250406.0 267 0 134 NA NA NA NA NA 312 0 154 NA NA NA NA NA 698 227 372 NA NA NA NA NA 784 240 419 NA NA NA NA NA
